genome,threshold,cluster_method,comparison_algorithm,primary_cluster,original_secondary_cluster,secondary_cluster
ERR7746398_bin.39.fa,0.05000000000000005,average,fastANI,48,48_1,48_1
SRR8732223_bin.1.fa,0.05000000000000005,average,fastANI,48,48_1,48_1
ERR7745831_bin.20.fa,0.05000000000000005,average,fastANI,48,48_2,48_2
ERR7745836_bin.14.fa,0.05000000000000005,average,fastANI,48,48_3,48_3
ERR7738143_bin.88.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738182_bin.12.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738267_bin.31.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738545_bin.14.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738594_bin.5.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738608_bin.134.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738622_bin.155.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7745402_bin.47.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7745819_bin.38.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7745831_bin.38.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7745836_bin.25.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
SRR8732224_bin.1.fa,0.05000000000000005,average,fastANI,49,49_1,49_1
ERR7738612_bin.132.fa,0.05000000000000005,average,fastANI,49,49_2,49_2
ERR7738196_bin.9.fa,0.05000000000000005,average,fastANI,50,50_1,50_1
ERR7738353_bin.18.fa,0.05000000000000005,average,fastANI,50,50_1,50_1
ERR7738580_bin.35.fa,0.05000000000000005,average,fastANI,51,51_1,51_1
ERR7745596_bin.15.fa,0.05000000000000005,average,fastANI,51,51_1,51_1
SRR1761721_bin.6.fa,0.05000000000000005,average,fastANI,51,51_2,51_2
ERR7738182_bin.32.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7738353_bin.36.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7738604_bin.78.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7738616_bin.86.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7738624_bin.163.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7738630_bin.63.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7745819_bin.60.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7746398_bin.80.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
SRR1761714_bin.22.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
SRR17643508_bin.27.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
SRR17643938_bin.3.fa,0.05000000000000005,average,fastANI,52,52_1,52_1
ERR7738182_bin.5.fa,0.05000000000000005,average,fastANI,52,52_2,52_2
SRR1761713_bin.4.fa,0.05000000000000005,average,fastANI,53,53_0,53_0
ERR7738578_bin.68.fa,0.05000000000000005,average,fastANI,54,54_0,54_0
ERR7738611_bin.39.fa,0.05000000000000005,average,fastANI,55,55_0,55_0
ERR7738611_bin.92.fa,0.05000000000000005,average,fastANI,56,56_1,56_1
ERR7738612_bin.97.fa,0.05000000000000005,average,fastANI,56,56_1,56_1
ERR7738185_bin.12.fa,0.05000000000000005,average,fastANI,57,57_1,57_1
ERR7745787_bin.40.fa,0.05000000000000005,average,fastANI,57,57_1,57_1
ERR7738611_bin.96.fa,0.05000000000000005,average,fastANI,57,57_2,57_2
ERR7738580_bin.7.fa,0.05000000000000005,average,fastANI,58,58_1,58_1
SRR17643958_bin.12.fa,0.05000000000000005,average,fastANI,58,58_2,58_2
ERR7738558_bin.104.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
SRR1761687_bin.33.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
SRR1761710_bin.4.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
SRR17643458_bin.33.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
SRR17643508_bin.21.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
SRR17643794_bin.2.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
SRR17644085_bin.17.fa,0.05000000000000005,average,fastANI,58,58_3,58_3
ERR7738537_bin.132.fa,0.05000000000000005,average,fastANI,58,58_4,58_4
ERR7738616_bin.66.fa,0.05000000000000005,average,fastANI,58,58_4,58_4
ERR7738624_bin.184.fa,0.05000000000000005,average,fastANI,58,58_4,58_4
SRR1761719_bin.16.fa,0.05000000000000005,average,fastANI,58,58_4,58_4
ERR7738514_bin.35.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
ERR7738546_bin.95.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR1761678_bin.29.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643452_bin.21.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643456_bin.11.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643466_bin.25.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643504_bin.19.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643506_bin.4.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643507_bin.16.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643521_bin.3.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643657_bin.11.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643794_bin.4.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643922_bin.8.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643927_bin.2.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17643938_bin.15.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR17644085_bin.7.fa,0.05000000000000005,average,fastANI,58,58_5,58_5
SRR1761721_bin.9.fa,0.05000000000000005,average,fastANI,58,58_6,58_6
SRR17643968_bin.12.fa,0.05000000000000005,average,fastANI,59,59_0,59_0
SRR1761682_bin.14.fa,0.05000000000000005,average,fastANI,60,60_0,60_0
ERR7738545_bin.30.fa,0.05000000000000005,average,fastANI,61,61_1,61_1
ERR7738580_bin.5.fa,0.05000000000000005,average,fastANI,61,61_1,61_1
ERR7738938_bin.3.fa,0.05000000000000005,average,fastANI,61,61_1,61_1
ERR7745836_bin.41.fa,0.05000000000000005,average,fastANI,61,61_1,61_1
ERR7738158_bin.3.fa,0.05000000000000005,average,fastANI,62,62_1,62_1
ERR7738537_bin.65.fa,0.05000000000000005,average,fastANI,62,62_1,62_1
ERR7738624_bin.48.fa,0.05000000000000005,average,fastANI,62,62_1,62_1
ERR7738558_bin.24.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
ERR7745787_bin.122.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR1761679_bin.6.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR17643458_bin.20.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR17643508_bin.6.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR17643792_bin.10.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR17643958_bin.2.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR17643968_bin.34.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
SRR17643989_bin.9.fa,0.05000000000000005,average,fastANI,62,62_2,62_2
ERR7738611_bin.52.fa,0.05000000000000005,average,fastANI,62,62_3,62_3
ERR7738616_bin.63.fa,0.05000000000000005,average,fastANI,62,62_3,62_3
ERR7745819_bin.68.fa,0.05000000000000005,average,fastANI,62,62_4,62_4
SRR17643466_bin.21.fa,0.05000000000000005,average,fastANI,62,62_5,62_5
SRR17643938_bin.35.fa,0.05000000000000005,average,fastANI,62,62_6,62_6
ERR11604930_bin.1.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
ERR11604937_bin.9.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
ERR11604940_bin.5.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
ERR11604942_bin.7.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
ERR11604949_bin.6.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
ERR11604951_bin.1.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
ERR11604953_bin.10.fa,0.05000000000000005,average,fastANI,63,63_1,63_1
SRR17643790_bin.33.fa,0.05000000000000005,average,fastANI,63,63_2,63_2
SRR1761676_bin.3.fa,0.05000000000000005,average,fastANI,64,64_1,64_1
SRR17643913_bin.13.fa,0.05000000000000005,average,fastANI,64,64_1,64_1
ERR7738937_bin.72.fa,0.05000000000000005,average,fastANI,65,65_0,65_0
SRR17643466_bin.13.fa,0.05000000000000005,average,fastANI,66,66_0,66_0
ERR7738558_bin.53.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
ERR7745836_bin.31.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR1761707_bin.1.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643452_bin.13.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643458_bin.6.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643459_bin.1.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643466_bin.31.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643482_bin.28.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643508_bin.16.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643518_bin.6.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643657_bin.1.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643792_bin.15.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643794_bin.10.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643804_bin.22.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
SRR17643919_bin.16.fa,0.05000000000000005,average,fastANI,67,67_1,67_1
ERR7738580_bin.74.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
ERR7738938_bin.17.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761705_bin.15.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761708_bin.7.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761710_bin.19.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761712_bin.12.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761715_bin.4.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761716_bin.13.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761717_bin.17.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761718_bin.20.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR1761719_bin.17.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR17643520_bin.19.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR17643523_bin.18.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR17643662_bin.15.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR17643809_bin.12.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR17643938_bin.20.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
SRR17644085_bin.14.fa,0.05000000000000005,average,fastANI,67,67_2,67_2
ERR7738158_bin.70.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738166_bin.93.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738182_bin.48.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738196_bin.41.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738537_bin.101.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738604_bin.38.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738611_bin.2.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738612_bin.88.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738622_bin.129.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7738624_bin.112.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7745402_bin.81.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7745819_bin.22.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7746398_bin.43.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
ERR7746440_bin.81.fa,0.05000000000000005,average,fastANI,67,67_3,67_3
SRR1761704_bin.6.fa,0.05000000000000005,average,fastANI,67,67_4,67_4.5.6
SRR1761709_bin.14.fa,0.05000000000000005,average,fastANI,67,67_4,67_4.5.6
ERR7738277_bin.26.fa,0.05000000000000005,average,fastANI,67,67_5,67_4.5.6
ERR7738545_bin.46.fa,0.05000000000000005,average,fastANI,67,67_5,67_4.5.6
SRR17643531_bin.9.fa,0.05000000000000005,average,fastANI,67,67_5,67_4.5.6
SRR17643927_bin.13.fa,0.05000000000000005,average,fastANI,67,67_6,67_4.5.6
SRR17643968_bin.40.fa,0.05000000000000005,average,fastANI,68,68_0,68_0
SRR17643474_bin.9.fa,0.05000000000000005,average,fastANI,69,69_1,69_1
SRR17643531_bin.14.fa,0.05000000000000005,average,fastANI,69,69_1,69_1
ERR7738514_bin.102.fa,0.05000000000000005,average,fastANI,69,69_2,69_2
SRR17643462_bin.8.fa,0.05000000000000005,average,fastANI,69,69_2,69_2
ERR7738276_bin.39.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
ERR7738546_bin.46.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
ERR7738549_bin.14.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
ERR7738562_bin.47.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
ERR7738597_bin.83.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
ERR7738620_bin.49.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
SRR1761677_bin.13.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
SRR17643506_bin.7.fa,0.05000000000000005,average,fastANI,69,69_3,69_3
SRR17643504_bin.3.fa,0.05000000000000005,average,fastANI,69,69_4,69_4
SRR17643933_bin.10.fa,0.05000000000000005,average,fastANI,69,69_5,69_5
ERR7738937_bin.46.fa,0.05000000000000005,average,fastANI,70,70_0,70_0
SRR1761684_bin.15.fa,0.05000000000000005,average,fastANI,71,71_0,71_0
SRR1761706_bin.21.fa,0.05000000000000005,average,fastANI,72,72_0,72_0
SRR17643482_bin.20.fa,0.05000000000000005,average,fastANI,73,73_0,73_0
ERR7738185_bin.44.fa,0.05000000000000005,average,fastANI,74,74_1,74_1
ERR7738277_bin.32.fa,0.05000000000000005,average,fastANI,74,74_1,74_1
ERR7738515_bin.40.fa,0.05000000000000005,average,fastANI,74,74_1,74_1
